transaction_id,amount,customer_age,account_age_days,transactions_last_24h,avg_transaction_amount,merchant_risk_score,device_risk_score,ip_risk_score,is_international,is_new_device,is_new_location,hour,is_fraud
TXN000001,1127.53,22,425,0,2288.12,0.1543,0.2671,0.1709,0,1,0,1,0
TXN000002,265.71,58,1441,2,489.48,0.0642,0.1202,0.0722,0,0,0,8,0
TXN000003,773.82,52,1134,2,1059.38,0.2108,0.0963,0.0948,0,0,0,18,0
TXN000004,562.68,40,379,5,732.8,0.1051,0.0412,0.0293,0,0,0,8,0
TXN000005,533.82,40,26,9,464.87,0.2204,0.1849,0.1554,0,0,0,23,1
TXN000006,957.04,62,340,5,1046.01,0.23,0.0688,0.3479,0,0,0,22,0
TXN000007,4522.05,22,530,6,3688.77,0.4308,0.2257,0.2902,0,0,0,4,0
TXN000008,773.4,54,840,4,603.63,0.1978,0.1143,0.5003,0,0,0,20,1
TXN000009,1507.27,28,1103,1,1003.03,0.0414,0.2751,0.0985,0,0,0,20,0
TXN000010,153.26,22,240,2,437.66,0.1216,0.1779,0.1386,1,0,0,22,0
TXN000011,212.42,45,34,1,394.86,0.1254,0.3039,0.441,0,0,0,2,0
TXN000012,857.58,68,810,2,632.02,0.2307,0.1911,0.3341,1,1,0,20,0
TXN000013,899.01,56,82,5,800.32,0.0542,0.1644,0.1001,0,0,0,5,1
TXN000014,1412.91,57,467,4,825.58,0.4368,0.0978,0.1612,0,0,0,13,1
TXN000015,400.44,55,128,6,936.16,0.0507,0.0968,0.1294,0,0,0,10,0
TXN000016,266.36,58,120,4,345.91,0.3003,0.168,0.0344,1,1,0,16,0
TXN000017,601.14,44,1079,4,707.57,0.1041,0.0785,0.4922,0,0,0,10,0
TXN000018,1707.59,24,371,2,1558.11,0.2894,0.2242,0.0577,0,0,0,6,0
TXN000019,432.23,61,832,2,423.79,0.1217,0.2073,0.1593,0,0,0,0,0
TXN000020,1106.98,41,189,2,855.25,0.2845,0.2501,0.0804,0,0,0,0,0
TXN000021,1263.87,44,294,3,1346.13,0.1941,0.0998,0.1331,0,1,0,1,0
TXN000022,1349.11,37,350,5,634.23,0.0362,0.1447,0.1562,0,1,0,11,0
TXN000023,3530.63,27,793,4,1392.79,0.2422,0.1517,0.3491,0,0,0,4,0
TXN000024,204.46,66,275,3,378.12,0.0348,0.1214,0.0149,0,0,0,21,0
TXN000025,2093.78,58,354,26,2042.47,0.0925,0.2069,0.3893,0,0,0,18,1
TXN000026,2197.24,51,343,3,1416.66,0.4005,0.2765,0.2224,0,0,0,9,0
TXN000027,1573.25,38,404,4,1140.21,0.2402,0.0751,0.2864,0,0,0,19,0
TXN000028,1925.73,60,47,3,2409.98,0.3271,0.1487,0.3547,0,0,0,15,0
TXN000029,1001.88,46,192,6,870.84,0.3974,0.1275,0.145,0,0,0,7,0
TXN000030,297.85,41,18,2,711.59,0.2857,0.0216,0.3014,0,0,0,17,0
TXN000031,2836.29,41,15,5,2866.31,0.2737,0.2572,0.205,0,1,0,8,0
TXN000032,1781.78,29,1466,4,3978.01,0.0442,0.4467,0.2024,0,0,0,19,0
TXN000033,892.46,22,38,3,674.92,0.1399,0.0791,0.2617,0,1,0,11,0
